INFO 2025-06-06 01:19:54,744 autoreload Watching for file changes with StatReloader
INFO 2025-06-06 01:20:36,728 autoreload Watching for file changes with StatReloader
WARNING 2025-06-06 01:20:39,322 log Not Found: /
WARNING 2025-06-06 01:20:39,323 basehttp "GET / HTTP/1.1" 404 3284
WARNING 2025-06-06 01:20:39,423 log Not Found: /favicon.ico
WARNING 2025-06-06 01:20:39,424 basehttp "GET /favicon.ico HTTP/1.1" 404 3338
INFO 2025-06-06 01:20:49,428 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-06-06 01:20:49,452 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4249
INFO 2025-06-06 01:20:49,515 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-06-06 01:20:49,515 basehttp "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-06-06 01:20:49,515 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-06-06 01:20:49,515 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-06-06 01:20:49,517 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-06-06 01:20:49,518 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-06-06 01:20:49,526 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-06-06 01:20:52,396 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4455
INFO 2025-06-06 01:21:35,639 autoreload Watching for file changes with StatReloader
WARNING 2025-06-06 01:21:42,259 log Not Found: /
WARNING 2025-06-06 01:21:42,259 basehttp "GET / HTTP/1.1" 404 3284
WARNING 2025-06-06 01:21:42,314 log Not Found: /favicon.ico
WARNING 2025-06-06 01:21:42,314 basehttp "GET /favicon.ico HTTP/1.1" 404 3338
INFO 2025-06-06 01:21:52,055 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-06-06 01:21:52,067 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4249
INFO 2025-06-06 01:21:52,141 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-06-06 01:21:52,142 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-06-06 01:21:52,144 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-06-06 01:21:52,144 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
